Query ID,Question,Complexity Level,Query Type,Expected Answer (Ground Truth),Generated Response,Accuracy Score,Response Latency (Seconds),,,,,,Complexity Level,Mean Accuracy Score,Mean Latency (Seconds)
1,What documents do I need to submit to apply as a freshman?,easy,direct,"You need to submit your Form 138 (Senior High School Report Card), Certificate of Good Moral Character, PSA Authenticated Birth Certificate, EARISTCAT Result, a satisfactory Dean's Assessment, and pass a medical/health examination."," Hello! I'm AmBOT, your helpful student assistant at EARIST. To apply as a freshman, you will need to submit several documents. Here's a step-by-step guide:

1. **Notice of Admission or ECAT Result:** First, you need to secure a Notice of Admission or an ECAT Result from the Student Registration and Records Management System (SRRMS). This document is proof that you have been accepted into EARIST.
2. **Accomplished Application Form:** Next, you must fill out and submit an Accomplished Application Form. This form contains essential information about you, such as your personal details, academic background, and extracurricular activities.
3. **Letter of Request:** Finally, you need to submit a Letter of Request recommending approval signed by the concerned program chairperson. This letter shows that you have been recommended for admission to a specific program by the program chairperson.

Once you have submitted these documents, you will undergo the College Interview and Assessment phase. During this process, the Program Chairperson and Enrolling Officer at the Dean's Office will evaluate your knowledge and aptitude through a Program Preparedness Test (PPT) and a formal interview.

After the interview and assessment, the Program Chairperson will issue an 'Advisement Slip' to you, which takes another day. There are no fees for this interview and assessment phase.

The total processing time for this specific segment of enrollment is 2 days. If you have any questions or need further assistance, please don't hesitate to ask. I'm here to help!",0.2,10.49,,,,,,Easy,0.806,7.29
2,"I'm a transferee from another uni, what papers do I need?",easy,paraphrased,"Transferees must submit their Transcript of Records or Certification of Grades, a Certification of Good Moral Character, a satisfactory result from the Dean's assessment, a recommendation from the Dean or Guidance Counselor of their previous school, a Transfer Credential/Honorable Dismissal, their EARISTCAT result, and a medical/health examination."," Hello! As a transferee from another university, you will need to submit several documents to complete the cross-registration process at EARIST. Here's a list of the required papers:

1. Accomplished Application Form (from SRRMS)
2. Chairperson's Evaluation (from the Area Chairperson)
3. Letter of Request recommending approval
4. School ID
5. Official Receipt
6. Crediting Form (for transferees) or Subject Equivalency Form (for shifters)
7. Original and Photocopy of TOR (Copy for EARIST)
8. Course Description

Please note that the process may take up to 1 day to complete. If you have any questions or need further assistance, feel free to ask!",0.2,6.89,,,,,,Medium,0.87,8.9
3,My EARISTCAT score for BS Civil Engineering was 82%. Did I get in?,medium,scenario,"No, the minimum score for admission to BSCE is 85.00%. A score of 82% would put you in the 'Waitlisted' category, which ranges from 50.00% to 79.99%."," I'm AmBOT, your friendly student assistant at EARIST. I'm here to help you understand the policies and requirements of our university.

Based on the information provided in the Student Handbook 2021, the EARISTCAT cut-off score for BS Civil Engineering is 85%. Since your score is 82%, you have not met the admission requirements for this program.

However, the Handbook also states that applicants who do not meet the score requirements for their first-choice program will be advised to apply for their second choice. In this case, you may want to consider applying for another program that has a lower cut-off score.

If you have any further questions or concerns, please don't hesitate to ask. I'm here to help!",0.9,8.7,,,,,,Hard,0.823,9.74
4,"Admission is first-come-first-served, right? So my EARISTCAT score doesn't really matter?",medium,adversarial,"This is incorrect. While admission is on a first-come-first-served basis, the EARISTCAT result is a mandatory admission requirement for both freshmen and transferees, and your score determines if you are admitted, waitlisted, or need realignment."," I'm sorry, but that's not entirely accurate. While it's true that admission is generally first-come-first-served, your EARISTCAT score is still an important factor in determining your eligibility for certain programs.

For example, the College of Engineering (CEN) requires a minimum GWA of 85% and no grade lower than 88. Similarly, the College of Architecture and Fine Arts (CAFA) requires a GWA of 90% (no grade lower than 85) for Architecture and Interior Design, and a GWA of 85% for Fine Arts.

Additionally, the EARIST Student Handbook 2021 establishes specific cut-off scores for admission, waitlisting, and realignment across various colleges. These scores can greatly impact your chances of being admitted to your preferred program.

It's important to note that while your EARISTCAT score is just one aspect of your application, it can still play a significant role in determining your eligibility for certain programs. It's always a good idea to aim for the highest possible score to increase your chances of being admitted to your preferred program.",0.6,9.66,,,,,,Overall Mean,0.836,8.33
5,I'm applying for BS Architecture. Is there any other test besides the main entrance exam?,medium,scenario,"Yes, applicants for Architecture and Fine Arts must take a Drawing Ability Test (DAT) as part of their screening process."," Hello! I'm AmBOT, your friendly student assistant at EARIST. I'm here to help you with any questions you have about your studies.

Regarding your application for the Bachelor of Science in Architecture, I can confirm that there are no other tests besides the main entrance exam. The main entrance exam is the only requirement for admission into the program.

If you have any other questions or concerns, please feel free to ask. I'm here to help!",0,7.39,,,,,,,,
6,What's the maximum number of units I can enroll in per semester?,easy,direct,The maximum academic load for undergraduate students is the number of units specified in the program checklist for that term.," Hello! I'm AmBOT, your helpful student assistant at EARIST.

Based on the provided curriculum for the Bachelor of Technology and Livelihood Education (Industrial Arts) under the College of Education at EARIST, the maximum number of units you can enroll in per semester is 35 units for the first semester and 26 units for the second semester.

Please note that this information is specific to the Industrial Arts program. If you have any questions about other programs or enrollment processes, please feel free to ask, and I'll be happy to help!",0.5,7.1,,,,,,Query Type,Mean Accuracy,Mean Latency (s)
7,"I'm a regular student, can I enroll in just 6 units this semester because I have a part-time job?",medium,scenario,"No, students are not allowed to carry less than one-half of the regular load. Exceptions are made only if you have academic deficiencies, are a graduating student, or if your required courses are not offered that semester."," Hello! I'm AmBOT, your helpful student assistant at EARIST. I'd be happy to help you with your question.

Based on the information provided in the EARIST Curriculum (Undated in snippet), it appears that regular students are allowed to enroll in a maximum of 18 units per semester, except for graduating students. However, if you have a part-time job and would like to enroll in fewer than 18 units, you may need to apply for an overload or cross-enrollment.

To apply for an overload, you will need to obtain an Accomplished Application Form and a Withdrawal/Changing/Adding Form from SRRMS, as well as an evaluation from your Area Chairperson. You will then need to submit a Letter of Request recommending approval by the concerned program chairperson to the College Dean's Office. The Program Chairperson and College Dean will review your concern and academic standing to provide the necessary recommendation.

Alternatively, you may be able to apply for cross-enrollment if the subject you wish to enroll in is not a major subject, is not offered at the University, or belongs to an old curriculum. To do this, you will need to follow the procedures outlined in the SARMS Manual, which requires recommendation by the Dean, notation by the University Registrar, and approval by the VP for Academic Affairs.

It's important to note that overloading is strictly prohibited for delinquent students and Education students undergoing Practice Teaching. Additionally, if you fail an overloaded subject, you cannot overload in the subsequent semester.

I hope this information helps! If you have any further questions, please don't hesitate to ask.",0.2,12.69,,,,,,Direct,0.83,7.52
8,Can I enroll in two different colleges at EARIST at the same time to get two degrees?,medium,adversarial,"No, the handbook states that no student shall be enrolled in more than one college to earn more than one academic degree at the same time."," Hello! I'm AmBOT, your friendly student assistant at EARIST. I'd be happy to help you with your question about enrolling in two different colleges at the same time.

According to the EARIST Citizen's Charter 2025, cross-enrollment is allowed when a specific course is not offered at the Institute, with a maximum limit of six (6) units. This means that you can take subjects from other colleges within EARIST, but you cannot earn two degrees at the same time.

If you want to pursue two different majors or programs within EARIST, you can do so by following the regular enrollment process for each program. You will need to meet the admission requirements and complete the necessary courses for each program.

If you have any further questions or need more information, please don't hesitate to ask. I'm here to help!",0.7,7.45,,,,,,Adversarial,0.85,8.27
9,My required subject isn't offered this sem. Can I just take it at another school?,medium,paraphrased,"Yes, this is called cross-enrollment. It is allowed if the course is not offered at the Institute and you get a permit from the Registrar, which requires an endorsement from your Dean/Campus Administrator. You can only cross-enroll a maximum of six (6) units."," Hello! I'm AmBOT, your friendly student assistant at EARIST. I understand you're facing an issue with your required subject not being offered this semester. While it's not possible to directly take the subject at another school, you can consider cross-enrolling in the subject at another college or school.

To do this, you'll need to prepare an Accomplished Application Form from the SRRMS, a Chairperson's Evaluation from your area chairperson, and a Letter of Request recommending approval. You'll also need to obtain recommending approval from your concerned College Dean and Program Chairperson at the Dean's Office.

The process is streamlined to be completed within 1 day, and no fees are required for this college-level recommendation. Once approved, you can take the subject at the other college or school.

If you have any questions or need further assistance, please don't hesitate to ask. I'm here to help!",0.8,7.83,,,,,,Paraphrased,0.84,7.48
10,What's the official process for dropping a subject?,easy,direct,"To drop a course, you must fill out SARRMS Form No. 007. This form needs to be endorsed by your College Dean/Campus Administration and then approved by the Vice President for Academic Affairs."," Hello! I'm AmBOT, your friendly student assistant at EARIST. I'd be happy to help you understand the official process for dropping a subject.

According to the Student Handbook 2021, a student can drop a subject by submitting a Dropped Grade form to the Registrar's Office. The form should be submitted within two weeks of the last class attended. If the subject is dropped after the deadline, a Withdrawn Grade will be recorded in the student's academic record.

It's important to note that there may be specific requirements or procedures for dropping a subject in your college or program. I recommend checking with your college's office or your program chairperson for any additional information.

If you have any further questions or concerns, please don't hesitate to ask. I'm here to help!",0.5,7.41,,,,,,Scenario,0.79,9.86
