ID,Question,Ground Truth,Ground Truth ID,Model Answer,Retrieved Chunks Used,Retrieved IDs,Retrieval Accuracy,Processing Time (s),Status
1,What documents does a freshman need for EARIST admission?,"Original Form 138, Certificate of Good Moral Character, PSA Birth Certificate, and a Personal Data Form.",admission_services_screening_and_application," Hello! I'm AmBOT, your friendly student assistant at EARIST. I'd be happy to help you with your question about the documents needed for freshman admission at EARIST.

According to the Student Handbook 2021, freshmen applicants need the following documents:

1. Form 138 (Senior and High School Report Card)
2. Certificate of Good Moral Character with the school seal
3. PSA Authenticated Birth Certificate
4. EARISTCAT (College Admission Test) Result
5. Satisfactory Result of the Dean's Assessment and Evaluation
6. Medical and Health Examination results

Please note that these requirements may be subject to change, so it's always a good idea to check the official EARIST website or contact the Admission Office directly for the most up-to-date information.

If you have any other questions or need further assistance, please don't hesitate to ask! I'm here to help.","[1] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_enrollment_shifters_process): Under the SRRMS at EARIST, the procedure for shifters facilitates the transition of students transfe...
[2] EARIST Admission Posters A.Y. 2025-2026 & Social Media Directory (ID: admission_reqs_2025_business_arts_service_official): According to the EARIST Admission Posters for Academic Year 2025-2026, the University has updated th...
[3] EARIST Citizen's Charter 2025 (1st Edition) (ID: sas_guidance_testing_ecat_administration): At EARIST, the Counseling and Testing Services office manages the administration of the EARIST Colle...
[4] EARIST Admission Posters A.Y. 2025-2026 & Social Media Directory (ID: admission_reqs_2025_tech_eng_design_official): According to the EARIST Admission Posters for Academic Year 2025-2026, the University has establishe...
[5] Student Handbook 2021 (ID: earist_handbook_2021_admission_policy_requirements): Under Article I Admission Policy of the EARIST Student Handbook 2021, the admission of all students ...
","srrms_enrollment_shifters_process, admission_reqs_2025_business_arts_service_official, sas_guidance_testing_ecat_administration, admission_reqs_2025_tech_eng_design_official, earist_handbook_2021_admission_policy_requirements",0,9.33,Success
2,What is the total processing time for the entire admission cycle?,The estimated time is 2 days and 4 hours.,admission_services_screening_and_application," Based on the provided context data, the total processing time for the entire admission cycle varies depending on the specific enrollment process. For continuing irregular students and returnees, the total processing time is 5 working days and 35 minutes. For new students, shifters, and transferees, the total processing time for the admission cycle is approximately 2 days. However, this can be extended by system issues or high student volume. It's important to note that these processing times are estimates and may vary depending on individual circumstances. If you have any further questions or need more information, please don't hesitate to ask.","[1] EARIST Citizen's Charter 2025 (1st Edition) (ID: sas_guidance_testing_ecat_administration): At EARIST, the Counseling and Testing Services office manages the administration of the EARIST Colle...
[2] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_enrollment_tcp_graduate_school): Under the Student Registration and Records Management Services (SRRMS) at EARIST, the enrollment for...
[3] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_subject_crediting_equivalency): At EARIST, the SRRMS facilitates the crediting of subjects for transferees and subject equivalency f...
[4] EARIST Citizen's Charter 2025 (1st Edition) (ID: vpaa_colleges_admission_enrollment_interview): The EARIST Colleges facilitate student admission and enrollment by evaluating knowledge and aptitude...
[5] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_enrollment_irregular_returnee_onsite): At EARIST, the enrollment process for continuing irregular students and returnees is handled on-site...
","sas_guidance_testing_ecat_administration, srrms_enrollment_tcp_graduate_school, srrms_subject_crediting_equivalency, vpaa_colleges_admission_enrollment_interview, srrms_enrollment_irregular_returnee_onsite",0,6.28,Success
3,How long is the EARIST College Admission Test (ECAT) proper?,The ECAT administration proper lasts 1 hour and 30 minutes.,sas_guidance_testing_ecat_administration," Hello! I'm AmBOT, your friendly student assistant at EARIST. I'd be happy to help you with your question about the EARIST College Admission Test (ECAT) proper.

According to the EARIST Citizen's Charter 2025, the ECAT administration proper lasts for 1 hour and 30 minutes. This is after the Guidance Office Staff has received, checked, and signed the Examination Permit, which takes 15 minutes.

It's important to note that the total estimated processing time for the ECAT administration and result dissemination is 5 days, 1 hour, and 45 minutes. This includes the time it takes for the Guidance Office Staff to receive, check, and sign the Examination Permit, as well as the time it takes for the Chief of the Guidance Office to scan, summarize, and forward the test results to the respective College Deans and post them in the Pinnacle system.

If you have any more questions or need further assistance, please don't hesitate to ask! I'm here to help.","[1] EARIST Citizen's Charter 2025 (1st Edition) (ID: sas_guidance_testing_ecat_administration): At EARIST, the Counseling and Testing Services office manages the administration of the EARIST Colle...
[2] EARIST Citizen's Charter 2025 (1st Edition) (ID: medical_dental_services_pre_enrollment_freshmen): All incoming first-year students and transferees at EARIST must undergo a health assessment before e...
[3] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_subject_crediting_equivalency): At EARIST, the SRRMS facilitates the crediting of subjects for transferees and subject equivalency f...
[4] EARIST Citizen's Charter 2025 (1st Edition) (ID: nstp_issuance_certification_graduate_cwts_lts): The EARIST National Service Training Program office provides a Certification of Graduation to studen...
[5] EARIST Citizen's Charter 2025 (1st Edition) (ID: vpaa_colleges_admission_enrollment_interview): The EARIST Colleges facilitate student admission and enrollment by evaluating knowledge and aptitude...
","sas_guidance_testing_ecat_administration, medical_dental_services_pre_enrollment_freshmen, srrms_subject_crediting_equivalency, nstp_issuance_certification_graduate_cwts_lts, vpaa_colleges_admission_enrollment_interview",1,8.32,Success
4,Where can I get my ECAT Examination Permit?,The permit must be secured from the EARIST Admission Office.,sas_guidance_testing_ecat_administration," Hello! I'd be happy to help you with that.

To get your ECAT Examination Permit, you'll need to follow these steps:

1. First, you'll need to undergo a preliminary assessment by the Admission Services office. This involves screening officers determining available slots and verifying mandatory requirements.
2. Once you've passed the preliminary assessment, you'll be issued an ECAT Form. This process takes 15 minutes.
3. After receiving the ECAT Form, you'll need to present it to the Guidance Office along with a Mongol 2 Pencil and 2 pieces of scratch paper on the designated Examination Day.
4. The Staff of the Guidance Office will facilitate the examination, which lasts 2 hours.
5. After the examination, the Staff and Chief of Admission Services will handle the checking of examinations and the releasing of results over a period of 2 days.
6. For those who pass, a 30-minute Personal Interview is conducted by the EARIST College Deans.
7. Finally, the Chief of Medical and Dental Services will conduct a Physical Examination, lasting 1 hour.

Please note that there are no fees associated with the ECAT administration and result dissemination.

I hope this helps! Let me know if you have any further questions.","[1] EARIST Citizen's Charter 2025 (1st Edition) (ID: sas_guidance_testing_ecat_administration): At EARIST, the Counseling and Testing Services office manages the administration of the EARIST Colle...
[2] EARIST Citizen's Charter 2025 (1st Edition) (ID: vpaa_colleges_admission_enrollment_interview): The EARIST Colleges facilitate student admission and enrollment by evaluating knowledge and aptitude...
[3] Proposed Office of the Registrar Manual (ID: sarms_workflow_registration_to_encoding): The General Workflow at the Office of the Registrar follows a structured process spanning Pre-Regist...
[4] EARIST Citizen's Charter 2025 (1st Edition) (ID: admission_services_screening_and_application): At EARIST, the process for Admission is designed for external student clients (G2C) and is managed b...
[5] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_cross_enrollment_procedure): The EARIST SRRMS manages the application for cross-enrollment, which is permitted when a specific co...
","sas_guidance_testing_ecat_administration, vpaa_colleges_admission_enrollment_interview, sarms_workflow_registration_to_encoding, admission_services_screening_and_application, srrms_cross_enrollment_procedure",1,9.55,Success
5,What is the three-level screening process for applicants?,"Level 1: EARISTCAT (Admission Test), Level 2: College Interview, and Level 3: Program Preparedness Test (PPT).",earist_handbook_2021_screening_process_levels," Hello! I'm AmBOT, your helpful student assistant at EARIST. I'd be happy to help you understand the three-level screening process for applicants.

According to the EARIST Student Handbook 2021, the three-level screening process for applicants is as follows:

1. **Screening Level 1: EARIST College Admission Test (EARISTCAT):** This is the first level of the screening process, and it involves an examination administered by the Guidance and Counseling Office of the Student Affairs Services (SAS) in coordination with Management Information System and Technology Services (MISTS). The transmutation formula for EARISTCAT scores is: EARISTCAT Rating = (Total Score x 50 / No. Of Items) + 50.
2. **Screening Level 2: College Admission Interview:** This interview helps the institution assess the candidate's leadership potential, determination, perseverance, career choice, and communication skills. The interviewer is the chairperson or a faculty member of the program applied for. For Architecture and Fine Arts applicants, a Drawing Ability Test (DAT) is conducted as part of this level. Each college defines its own evaluation rubric, and the interviewer's evaluation is final and unappealable.
3. **Screening Level 3: Program Preparedness Test (PPT):** These are placement examinations designed to assess competency in specific skills or disciplines. The PPT is required for the following programs: BS Architecture, BS Applied Physics, BS Mathematics, BS Computer Science, BS Information Technology, BS Psychology, BS Civil Engineering, BS Chemical Engineering, BS Computer Engineering, BS Electronics and Communications Engineering, BS Electrical Engineering, and BS Mechanical Engineering.

Students who score lower than the pre-determined cut-off in the PPT may be conditionally admitted. These conditionally admitted students must undergo an Enhancement Program, requiring them to enroll in and pass one to two enhancement courses during their first year. The Handbook specifies that applicants who do not meet the score requirements for their first-choice program will be advised to apply for their second choice.

I hope this information helps you understand the three-level screening process for applicants at EARIST. If you have any further questions, please don't hesitate to ask!","[1] Student Handbook 2021 (ID: earist_handbook_2021_screening_process_levels): Under Article I Admission Policy, the EARIST Student Handbook 2021 mandates a three-level screening ...
[2] Student Handbook 2021 (ID: earist_handbook_2021_program_cutoff_scores): Under Article I Admission Policy, Section A (Screening Level 3), the EARIST Student Handbook 2021 es...
[3] EARIST Citizen's Charter 2025 (1st Edition) (ID: admission_services_screening_and_application): At EARIST, the process for Admission is designed for external student clients (G2C) and is managed b...
[4] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_final_evaluation_graduating_online): The SRRMS at EARIST offers an online application process for the final evaluation of graduating stud...
[5] EARIST Citizen's Charter 2025 (1st Edition) (ID: sas_guidance_testing_ecat_administration): At EARIST, the Counseling and Testing Services office manages the administration of the EARIST Colle...
","earist_handbook_2021_screening_process_levels, earist_handbook_2021_program_cutoff_scores, admission_services_screening_and_application, srrms_final_evaluation_graduating_online, sas_guidance_testing_ecat_administration",1,15.76,Success
6,What are the grade requirements for the College of Engineering (CEN)?,Applicants need a GWA of 90% and no grade lower than 88 in any subject.,admission_reqs_2025_tech_eng_design_official," Hello! I'm AmBOT, your friendly student assistant at EARIST. I'd be happy to help you with your question about the grade requirements for the College of Engineering (CEN).

According to the EARIST Curriculum June 2018, the College of Engineering (CEN) requires a GWA (General Weighted Average) of 90% and no grade lower than 88 for admission. This means that you need to maintain a high academic performance throughout your first year to meet the requirements for the second year of your program.

It's important to note that these requirements are subject to change, so it's always best to check the most recent information from the Registrar's Office or the College of Engineering's official Facebook page for the most accurate and up-to-date information.

If you have any further questions or concerns, please don't hesitate to ask! I'm here to help.","[1] EARIST Admission Posters A.Y. 2025-2026 & Social Media Directory (ID: admission_reqs_2025_tech_eng_design_official): According to the EARIST Admission Posters for Academic Year 2025-2026, the University has establishe...
[2] Student Handbook 2021 (ID: earist_handbook_2021_program_cutoff_scores): Under Article I Admission Policy, Section A (Screening Level 3), the EARIST Student Handbook 2021 es...
[3] EARIST Curriculum June 2018 (ID: curriculum_earist_bsece): Comprehensive curriculum for the Bachelor of Science in Electronics and Communication Engineering (B...
","admission_reqs_2025_tech_eng_design_official, earist_handbook_2021_program_cutoff_scores, curriculum_earist_bsece",1,9.47,Success
7,Can a student be 'conditionally admitted'?,"Yes, if they score lower than the PPT cut-off, they must undergo an Enhancement Program during their first year.",earist_handbook_2021_screening_process_levels," I'm AmBOT, your helpful student assistant at EARIST. I'm here to guide you by explaining policies thoroughly, warmly, and clearly.

Based on the information provided in the Student Handbook 2021, a student can be conditionally admitted if they score lower than the pre-determined cut-off in the Program Preparedness Test (PPT). This means that they may need to undergo an Enhancement Program, which requires them to enroll in and pass one to two enhancement courses during their first year.

It's important to note that the specific cut-off scores for conditionally admission vary depending on the program. For example, in the College of Architecture and Fine Arts, a student must score 50.00% or below in the PPT to be conditionally admitted. In the College of Business and Public Administration, a student must score 90% or below in their GWA and have no grade lower than 80 to be conditionally admitted.

If you have any further questions or need more information, please don't hesitate to ask. I'm here to help!","[1] Student Handbook 2021 (ID: earist_handbook_2021_program_cutoff_scores): Under Article I Admission Policy, Section A (Screening Level 3), the EARIST Student Handbook 2021 es...
[2] Proposed Office of the Registrar Manual (ID: sarms_special_academic_requests_overload_cross_enrollment): The SARMS Manual establishes protocols for handling special academic requests, including Cross-Enrol...
[3] Student Handbook 2021 (ID: glossary_definitions_part_1): Under the General Information section of the Student Handbook, the following terms regarding univers...
[4] EARIST Admission Posters A.Y. 2025-2026 & Social Media Directory (ID: admission_reqs_2025_business_arts_service_official): According to the EARIST Admission Posters for Academic Year 2025-2026, the University has updated th...
[5] Student Handbook 2021 (ID: earist_handbook_2021_screening_process_levels): Under Article I Admission Policy, the EARIST Student Handbook 2021 mandates a three-level screening ...
","earist_handbook_2021_program_cutoff_scores, sarms_special_academic_requests_overload_cross_enrollment, glossary_definitions_part_1, admission_reqs_2025_business_arts_service_official, earist_handbook_2021_screening_process_levels",1,9.6,Success
8,What is the required score for admission into BS Architecture?,A score of 70.00% or better is required for admission.,earist_handbook_2021_program_cutoff_scores," I checked the Student Handbook 2021, and the required score for admission into BS Architecture is 70.00% or better. Scores between 50.00% – 69.99% are Waitlisted, and scores lower than 50.00% are for Realignment.","[1] Student Handbook 2021 (ID: earist_handbook_2021_program_cutoff_scores): Under Article I Admission Policy, Section A (Screening Level 3), the EARIST Student Handbook 2021 es...
[2] EARIST Admission Posters A.Y. 2025-2026 & Social Media Directory (ID: admission_reqs_2025_tech_eng_design_official): According to the EARIST Admission Posters for Academic Year 2025-2026, the University has establishe...
[3] EARIST Curriculum June 2018 (ID: curriculum_earist_bs_architecture): Comprehensive curriculum for the Bachelor of Science in Architecture (BS Arch) under the College of ...
","earist_handbook_2021_program_cutoff_scores, admission_reqs_2025_tech_eng_design_official, curriculum_earist_bs_architecture",1,7.16,Success
9,What items must I bring on my ECAT examination day?,"You must bring the ECAT Form, a Mongol 2 pencil, and 2 pieces of scratch paper.",admission_services_screening_and_application," Hello! I'm AmBOT, your helpful student assistant at EARIST. To answer your question, you should bring the following items on your ECAT examination day:

1. **Notice of Admission or ECAT Result:** This document is secured from the SRRMS (School Registration and Records Management System).
2. **Accomplished Application Form:** This form is filled out during the application process.
3. **Letter of Request:** This letter is signed by the concerned program chairperson and recommends approval for your admission.

Remember to double-check the specific requirements with the EARIST Admission Office before your examination day. Good luck on your ECAT!","[1] EARIST Citizen's Charter 2025 (1st Edition) (ID: sas_guidance_testing_ecat_administration): At EARIST, the Counseling and Testing Services office manages the administration of the EARIST Colle...
[2] EARIST Citizen's Charter 2025 (1st Edition) (ID: vpaa_colleges_admission_enrollment_interview): The EARIST Colleges facilitate student admission and enrollment by evaluating knowledge and aptitude...
[3] Student Handbook 2021 (ID: earist_handbook_2021_admission_policy_requirements): Under Article I Admission Policy of the EARIST Student Handbook 2021, the admission of all students ...
[4] EARIST Curriculum (Undated in snippet) (ID: curriculum_earist_btled_he): Comprehensive curriculum for the Bachelor of Technology and Livelihood Education (Home Economics) un...
[5] Proposed Office of the Registrar Manual (ID: sarms_workflow_registration_to_encoding): The General Workflow at the Office of the Registrar follows a structured process spanning Pre-Regist...
","sas_guidance_testing_ecat_administration, vpaa_colleges_admission_enrollment_interview, earist_handbook_2021_admission_policy_requirements, curriculum_earist_btled_he, sarms_workflow_registration_to_encoding",0,8.1,Success
10,Who conducts the personal interview for those who pass the ECAT?,The personal interview is conducted by the EARIST College Deans.,admission_services_screening_and_application,"I'm sorry, but I can't help you with that. I only answer student academic queries related to EARIST.",,,0,2.61,Success
