original question,answer,generated answer,retrieved chunks id,context_id,contextualized query,latency
What documents does a freshman need for EARIST admission?,"Original Form 138, Certificate of Good Moral Character, PSA Birth Certificate, and a Personal Data Form.","Based on my data from the Student Handbook 2021, a freshman applicant at EARIST needs the following documents for admission:

1. Form 138 (Senior and High School Report Card)
2. Certificate of Good Moral Character with the school seal
3. PSA Authenticated Birth Certificate
4. EARISTCAT (College Admission Test) Result
5. Satisfactory Result of the Dean's Assessment and Evaluation
6. Medical and Health Examination results

These requirements ensure that the university has all the necessary information to evaluate the applicant's academic background and readiness for college-level studies. If you have any further questions or need clarification, please don't hesitate to ask!","['srrms_enrollment_shifters_process', 'admission_reqs_2025_business_arts_service_official', 'sas_guidance_testing_ecat_administration', 'admission_reqs_2025_tech_eng_design_official', 'earist_handbook_2021_admission_policy_requirements']",admission_services_screening_and_application,What documents does a freshman need for EARIST admission?,6.1772
What is the total processing time for the entire admission cycle?,The estimated time is 2 days and 4 hours.,"Based on the data I have from the EARIST Citizen's Charter 2025 (1st Edition), the total processing time for the entire admission cycle can vary depending on the specific admission pathway. Here's a breakdown of the processing times for each step:

1. **ECAT Administration:** The ECAT administration process takes approximately 1 hour and 45 minutes (1 hour for the test itself, and 45 minutes for the result dissemination).
2. **Enrollment for Continuing Irregular Students and Returnees:** The enrollment process for continuing irregular students and returnees takes 5 working days and 35 minutes.
3. **Admission and Enrollment: College Interview and Aptitude Testing:** The admission and enrollment process through a college interview and aptitude testing takes 2 days.
4. **Crediting of Subjects / Subject Equivalency:** The crediting of subjects or subject equivalency process takes 1 hour and 18 minutes.
5. **Enrollment Procedure for New Students (TCP and GS):** The enrollment procedure for new students in the Teacher Certificate Program (TCP) and Graduate School (GS) takes approximately 25 minutes.

Therefore, the total processing time for the entire admission cycle can range from 2 days and 35 minutes to 5 working days and 35 minutes, depending on the specific admission pathway. If you have any further questions or need clarification on any of these steps, please don't hesitate to ask!","['sas_guidance_testing_ecat_administration', 'srrms_enrollment_tcp_graduate_school', 'srrms_subject_crediting_equivalency', 'vpaa_colleges_admission_enrollment_interview', 'srrms_enrollment_irregular_returnee_onsite']",admission_services_screening_and_application,What is the total processing time for the entire admission cycle?,8.3374
How long is the EARIST College Admission Test (ECAT) proper?,The ECAT administration proper lasts 1 hour and 30 minutes.,"Based on my data from the EARIST Citizen's Charter 2025 (1st Edition), the ECAT administration proper lasts for 1 hour and 30 minutes. I'm here to help clarify any questions you might have about EARIST policies and procedures. If you have any other queries, feel free to ask! 😊","['sas_guidance_testing_ecat_administration', 'medical_dental_services_pre_enrollment_freshmen', 'srrms_subject_crediting_equivalency', 'nstp_issuance_certification_graduate_cwts_lts', 'vpaa_colleges_admission_enrollment_interview']",sas_guidance_testing_ecat_administration,How long is the EARIST College Admission Test (ECAT) proper?,2.965
,,,,,,
What is the three-level screening process for applicants?,"Level 1: EARISTCAT (Admission Test), Level 2: College Interview, and Level 3: Program Preparedness Test (PPT).","Based on my data from the EARIST Student Handbook 2021, the three-level screening process for applicants at EARIST includes the following steps:

1. **Screening Level 1: EARIST College Admission Test (EARISTCAT):** This is the initial assessment stage where applicants take a standardized test to measure their aptitude and intelligence. The test is administered by the Guidance and Counseling Office in collaboration with the Office of Student Admission, Registration and Records Management Services (SARRMS) and Management Information System and Technology Services (MISTS). The scores are calculated using a transmutation formula: EARISTCAT Rating = (Total Score x 50 / No. Of Items) + 50.

2. **Screening Level 2: College Admission Interview:** After passing the EARISTCAT, applicants undergo a personal interview. The interview helps the institution evaluate the candidate's leadership potential, determination, perseverance, career choice, and communication skills. The interviewer is typically the chairperson or a faculty member of the program applied for. For Architecture and Fine Arts applicants, a Drawing Ability Test (DAT) is conducted as part of this level. Each college defines its own evaluation rubric, and the interviewer's evaluation is final and unappealable.

3. **Screening Level 3: Program Preparedness Test (PPT):** This is the final assessment stage where applicants demonstrate their competency in specific skills or disciplines required for their chosen program. The PPT is mandatory for various programs, including Architecture, Applied Physics, Mathematics, Computer Science, Information Technology, Psychology, Civil Engineering, Chemical Engineering, Computer Engineering, Electronics and Communications Engineering, Electrical Engineering, and Mechanical Engineering. Students who do not meet the pre-determined cut-off score in the PPT may be conditionally admitted and required to enroll in and pass one to two enhancement courses during their first year.

I hope this explanation helps clarify the three-level screening process for you. If you have any further questions or need assistance with other topics, please don't hesitate to ask!","['earist_handbook_2021_screening_process_levels', 'earist_handbook_2021_program_cutoff_scores', 'admission_services_screening_and_application', 'srrms_final_evaluation_graduating_online', 'sas_guidance_testing_ecat_administration']",earist_handbook_2021_screening_process_levels,What is the three-level screening process for applicants?,12.2818
What are the grade requirements for the College of Engineering (CEN)?,Applicants need a GWA of 90% and no grade lower than 88 in any subject.,"Based on my data from the EARIST subject curriculum for the Bachelor of Science in Electronics and Communication Engineering under the College of Engineering at EARIST, the grade requirement for admission is 85.00% or better. If you have any further questions or need clarification on other topics related to the College of Engineering, please don't hesitate to ask!

Additionally, I'd be happy to help you find the official Facebook page for the College of Engineering. You can connect with them at <https://www.facebook.com/profile.php?id=61575803500947>.

If you have any questions about other colleges or admission requirements, feel free to ask!","['admission_reqs_2025_tech_eng_design_official', 'earist_handbook_2021_program_cutoff_scores', 'subject curriculum_earist_bsece']",admission_reqs_2025_tech_eng_design_official,What are the grade requirements for the College of Engineering (CEN)?,6.5393
,,,,,,
What is the required score for admission into BS Architecture?,A score of 70.00% or better is required for admission.,"Based on my data from the EARIST Student Handbook 2021, the required score for admission into the Bachelor of Science in Architecture (BS Architecture) program under the College of Architecture and Fine Arts (CAFA) is 70.00% or better. Scores between 50.00% and 69.99% are waitlisted, and scores lower than 50.00% are for realignment.","['earist_handbook_2021_program_cutoff_scores', 'admission_reqs_2025_tech_eng_design_official', 'subject curriculum_earist_bs_architecture']",earist_handbook_2021_program_cutoff_scores,What is the required score for admission into BS Architecture?,5.6839
What items must I bring on my ECAT examination day?,"You must bring the ECAT Form, a Mongol 2 pencil, and 2 pieces of scratch paper.","Based on my data from the EARIST Citizen's Charter 2025 (1st Edition), to prepare for your ECAT examination day, you should bring the following items:

1. One original copy of your Examination Permit, which you must secure from the EARIST Admission Office beforehand.

Once you arrive at the Guidance Office, you will present this permit to the staff, who will receive, check, and sign it. Afterward, you will proceed to the ECAT administration proper.

Remember, there are no fees associated with this testing service. The total estimated processing time for the ECAT administration and result dissemination is 5 days, 1 hour, and 45 minutes.

Good luck on your examination! If you have any further questions, please don't hesitate to ask.","['sas_guidance_testing_ecat_administration', 'vpaa_colleges_admission_enrollment_interview', 'earist_handbook_2021_admission_policy_requirements', 'subject curriculum_earist_btled_he', 'sarms_workflow_registration_to_encoding']",admission_services_screening_and_application,What items must I bring on my ECAT examination day?,6.73
Who conducts the personal interview for those who pass the ECAT?,The personal interview is conducted by the EARIST College Deans.,"I'm glad you're interested in the ECAT interview process at EARIST. Based on my data from the EARIST Citizen's Charter 2025 (1st Edition), the personal interview for those who pass the ECAT is conducted by the Program Chairperson and Enrolling Officer at the Dean's Office. This interview is a crucial part of the admission and enrollment process, where students are evaluated based on their knowledge and aptitude. If you have any further questions or need clarification on any aspect of this process, please don't hesitate to ask!","['vpaa_colleges_admission_enrollment_interview', 'sas_guidance_testing_ecat_administration', 'sas_guidance_exit_interview_career', 'medical_dental_services_pre_enrollment_freshmen', 'medical_dental_services_excuse_slip']",admission_services_screening_and_application,Who conducts the personal interview for those who pass the ECAT?,3.7852
